model,test,loss,accuracy,f1,matthews_correlation,precision,recall,runtime,samples_per_second,steps_per_second,epoch
dnabert40_10,prom_prom_300_all,0.1859220415353775,0.9347972972972973,0.9347901448741353,0.8696061149677552,0.9348369079055818,0.9347692096973017,5.5003,1076.307,16.908,4.0
dnabert40_10,tf_3,0.5002890825271606,0.757,0.7568227237656251,0.5147510549569152,0.7577516036763201,0.757,0.2519,3969.064,15.876,3.0
dnabert40_10,tf_0,0.3498159646987915,0.849,0.8482349523950233,0.7051454805348788,0.8561820549561355,0.849,0.2501,3998.761,15.995,3.0
dnabert40_10,Cancer,0.6036880016326904,0.6605922551252847,0.6457011932553718,0.35073702375122284,0.6920587503111775,0.6601286841012868,0.5179,847.575,13.515,3.0
dnabert40_10,mouse_3,0.6183270215988159,0.8284518828451883,0.8267043947298611,0.6691531087980125,0.8412368881118881,0.8280462184873949,0.0679,3518.267,14.721,66.66666666666667
dnabert40_10,tf_1,0.31920602917671204,0.863,0.8619551384428741,0.7372462099232681,0.8743333154588315,0.863,0.2575,3883.974,15.536,3.0
dnabert40_10,mouse_0,0.42089107632637024,0.8296296296296296,0.8296130090421867,0.6593879132564487,0.8297582961801893,0.8296296296296296,0.2507,3230.493,15.953,19.607843137254903
dnabert40_10,EMP_H3K36me3,0.47356268763542175,0.7901376146788991,0.7841273921108747,0.572952057760657,0.7917846085802742,0.7812640307600891,3.5744,975.832,15.387,3.0
dnabert40_10,EMP_H3K4me2,0.6176425814628601,0.678396871945259,0.6420463428460212,0.3184593174552784,0.6775193436107929,0.6428243463659301,3.1582,971.769,15.199,3.0
dnabert40_10,EMP_H4ac,0.5533764362335205,0.7178885630498534,0.7178326542113762,0.44459106663779585,0.7227910859624415,0.7218010829296095,3.5248,967.433,15.32,3.0
dnabert40_10,EMP_H3,0.3188888430595398,0.875751503006012,0.8754219088354778,0.7540656574468997,0.8787021729499606,0.8753708430767033,1.5559,962.16,15.425,3.0
dnabert40_10,Cancer1,0.5802038908004761,0.6788154897494305,0.6731095232814208,0.36995436318928565,0.69167000935954,0.6785180572851806,0.1865,2353.39,150.102,3.0
dnabert40_10,EMP_H4,0.28046584129333496,0.9028062970568104,0.9019184947049924,0.8045112821069287,0.9007774950523042,0.9037392387469667,1.6154,904.421,14.238,3.0
dnabert40_10,prom_prom_core_tata,0.33894187211990356,0.8564437194127243,0.856440281030445,0.7131723579351571,0.8566317403526706,0.856540623403168,0.581,1055.166,17.213,10.0
dnabert40_10,EMP_H3K79me3,0.4634588062763214,0.8058252427184466,0.8043073135149412,0.6100660681898988,0.8066535184231471,0.8034211130777857,3.0858,934.617,14.907,3.0
dnabert40_10,EMP_H3K14ac,0.509069561958313,0.7500756429652042,0.746227146843245,0.49335179426688025,0.7451862483469082,0.7481745964010744,3.3866,975.91,15.355,3.0
dnabert40_10,prom_prom_core_all,0.3962435722351074,0.8211148648648648,0.8201616441970556,0.6485018381640212,0.827612231670071,0.8209240936748989,5.6503,1047.727,16.459,4.0
dnabert40_10,prom_prom_core_notata,0.3575022518634796,0.8494441303938195,0.849398871315433,0.6991937951367729,0.8497820455585918,0.8494118475814341,4.8284,1099.117,17.19,4.0
dnabert40_10,tf_4,0.3400552570819855,0.872,0.871967223609244,0.7443812208025729,0.8723813184701135,0.872,0.3792,2637.179,10.549,3.0
dnabert40_10,prom_prom_300_notata,0.09737870842218399,0.9707932918786508,0.9707841259511981,0.9416626900624786,0.9709476873771099,0.9707150314264408,4.8073,1103.944,17.265,4.0
dnabert40_10,tf_2,0.4314718246459961,0.803,0.8021641435063142,0.6111865326751953,0.8082087274946598,0.8029999999999999,0.3908,2558.771,10.235,3.0
dnabert40_10,mouse_2,0.4445498287677765,0.8963414634146342,0.8962025316455696,0.7948134805723426,0.8984748803827751,0.8963414634146342,0.1274,2573.583,15.693,47.61904761904762
dnabert40_10,EMP_H3K4me3,0.6012943387031555,0.6804347826086956,0.6801385025827327,0.3713201644982166,0.6866854933185165,0.6846403034751857,3.764,977.693,15.409,3.0
dnabert2_OG,EMP_H3K9ac,0.48730188608169556,0.7858942065491183,0.7854807700665689,0.5768125332671553,0.7868617491417801,0.7899591000974057,2.8758,966.324,60.504,3.0
dnabert2_OG,EMP_H3K4me1,0.5371730327606201,0.7487373737373737,0.744990680335508,0.4910557409510834,0.7471360469380272,0.7439301588220817,3.2853,964.303,60.269,3.0
dnabert2_OG,mouse_1,0.17829115688800812,0.9270570793180133,0.9270328146748621,0.8546727858794457,0.9276185759876747,0.9270543961027474,1.647,4095.26,64.358,0.59
dnabert2_OG,mouse_4,0.5124849081039429,0.7546468401486989,0.7546218572724441,0.5093816632119786,0.7547399783315276,0.7546416943622789,0.4696,4009.947,63.887,2.12
dnabert2_OG,prom_prom_300_tata,0.41896891593933105,0.835236541598695,0.8348920623491607,0.6703240088882713,0.8357132169042987,0.8346116970278044,0.5185,1182.242,75.216,10.0
dnabert2_OG,prom_prom_300_all,0.18339398503303528,0.9341216216216216,0.9341165383925256,0.8682407542276079,0.9341358376435522,0.9341049171346391,5.0146,1180.557,73.785,4.0
dnabert2_OG,tf_3,0.4388962686061859,0.782,0.7804508612771717,0.5721317107233035,0.7901903319283456,0.782,0.2559,3907.126,62.514,3.0
dnabert2_OG,tf_0,0.382394403219223,0.828,0.8255712541426827,0.6750686263249279,0.8473457700062692,0.828,0.259,3861.511,61.784,3.0
dnabert2_OG,mouse_3,0.32879650592803955,0.8870292887029289,0.8860638805021452,0.786140868639203,0.899587494572297,0.8866596638655462,0.0685,3489.535,58.402,16.67
dnabert2_OG,tf_1,0.31464874744415283,0.858,0.8577724358974359,0.7183022567450896,0.8603059581320451,0.858,0.2595,3854.124,61.666,3.0
dnabert2_OG,mouse_0,0.46297353506088257,0.7839506172839507,0.7826356974288908,0.5748994014063608,0.7909919028340081,0.7839506172839505,0.2055,3942.23,63.27,4.93
