model,test,loss,accuracy,f1,matthews_correlation,precision,recall,runtime,samples_per_second,steps_per_second,epoch
dnabert1_3,tf_2,0.4710291624069214,0.787,0.7867080032564582,0.5755780962068536,0.7885802655340646,0.7869999999999999,0.231,4328.992,17.316,3.0
dnabert1_3,EMP_H3K79me3,0.45954635739326477,0.7916088765603329,0.7912884615639337,0.5831542438897878,0.7911408726292661,0.7920140249422383,3.6549,789.079,12.586,3.0
dnabert1_3,mouse_2,0.42524057626724243,0.8536585365853658,0.8533914403844005,0.7099084711800413,0.8562546816479402,0.853658536585366,0.1051,3121.824,19.036,47.62
dnabert1_3,tf_0,0.367308646440506,0.837,0.8358137543753619,0.6839556152989009,0.847029142209865,0.837,0.2202,4540.941,18.164,3.0
dnabert1_3,EMP_H3,0.31828173995018005,0.8704074816299265,0.8704004840938057,0.7408040756772805,0.8703947650259178,0.8704093107941664,1.9929,751.172,12.043,3.0
dnabert1_3,EMP_H3K14ac,0.5625312924385071,0.7077155824508321,0.6968032732706952,0.39626068146106574,0.7014679426741042,0.6948480308924245,4.1455,797.255,12.544,3.0
dnabert1_3,EMP_H3K36me3,0.5469017624855042,0.7405389908256881,0.7260941279840771,0.47392871398310654,0.7509071382453667,0.723796368955865,4.4943,776.089,12.238,3.0
dnabert1_3,prom_prom_core_all,0.37747490406036377,0.8331081081081081,0.8330909630508978,0.6662739898491868,0.8331871961945889,0.8330868012184165,4.4751,1322.875,20.782,4.0
dnabert1_3,EMP_H3K4me3,0.6346369385719299,0.6355978260869565,0.6313069064731753,0.2656586057157042,0.6342507363770251,0.6314229193361984,4.7064,781.916,12.324,3.0
dnabert1_3,tf_1,0.32565513253211975,0.857,0.8560080393833116,0.7240455875894032,0.867116255537594,0.857,0.221,4524.043,18.096,3.0
dnabert1_3,prom_prom_300_all,0.20879273116588593,0.9155405405405406,0.9153896506678787,0.833093819616807,0.9178005902143833,0.9152969912797334,5.0701,1167.639,18.343,4.0
dnabert1_3,EMP_H4,0.30451735854148865,0.8863791923340179,0.88452770466639,0.769332222018415,0.8858880090497737,0.8834480820570465,1.9135,763.537,12.02,3.0
dnabert1_3,mouse_3,1.2065273523330688,0.694560669456067,0.6725228522627025,0.45911255779693505,0.7693271640640061,0.6956582633053221,0.0594,4021.239,16.825,66.67
dnabert1_3,EMP_H3K9ac,0.547622561454773,0.74091399784095,0.7292417013896784,0.4752923976148739,0.7486322869698105,0.7271455429056213,3.5289,787.505,12.469,3.0
dnabert1_3,tf_3,0.503471851348877,0.747,0.746573990878667,0.49566925076443397,0.7486720710054406,0.747,0.2221,4503.283,18.013,3.0
dnabert1_3,EMP_H3K4me1,0.566109299659729,0.7215909090909091,0.7138211382113822,0.4350089052089779,0.7227570916600863,0.7123756714105776,3.9933,793.323,12.521,3.0
dnabert1_3,mouse_4,0.5472943782806396,0.7286245353159851,0.72684463256387,0.4634551882935829,0.734828526610177,0.7286676097840532,0.5237,3595.293,15.275,8.47
dnabert1_3,EMP_H3K4me2,0.6071153879165649,0.6744868035190615,0.6415734368374703,0.3100189465402585,0.669770149911354,0.6415321646121487,3.9526,776.454,12.144,3.0
dnabert1_3,mouse_1,0.2314349263906479,0.8984432913269088,0.8982921660208564,0.7992860360254205,0.9008405879551696,0.8984490259857869,1.5399,4380.273,17.534,2.37
dnabert1_3,prom_prom_300_tata,0.3984886407852173,0.831973898858075,0.831973898858075,0.6652285075103868,0.8326142537551934,0.8326142537551934,0.5159,1188.242,19.384,10.0
dnabert1_3,mouse_0,0.8311627507209778,0.6518518518518519,0.6224612577352304,0.36598553112096943,0.7205198806541006,0.6518518518518519,0.2126,3810.066,18.815,19.61
dnabert1_3,splice_reconstructed,0.26390403509140015,0.9020166593599298,0.8965785281350193,0.8349755221252195,0.8894007315093736,0.9045851657051406,4.7145,967.654,15.272,5.0
dnabert1_3,EMP_H4ac,0.6241159439086914,0.6571847507331379,0.633375115964506,0.319666798972654,0.6781231123527636,0.6434216775909566,4.3812,778.321,12.325,3.0
dnabert1_3,tf_4,0.3817000091075897,0.832,0.8318277916586585,0.6653640638373699,0.8333654649444122,0.8320000000000001,0.2209,4527.667,18.111,3.0
dnabert1_3,prom_prom_300_notata,0.11935921013355255,0.9547767100056529,0.9547329525681181,0.9102585195265607,0.9557063580555449,0.9545528922978588,4.777,1110.944,17.375,4.0
dnabert1_3,prom_prom_core_notata,0.36731967329978943,0.8417184850197852,0.8414534042556219,0.6854540609941628,0.8438201885845864,0.841637348047843,4.0554,1308.632,20.467,4.0
dnabert1_3,prom_prom_core_tata,0.29661765694618225,0.8874388254486134,0.8872660204214897,0.7785239957201576,0.8907121407121408,0.8878172372679272,0.4571,1341.209,21.879,10.0
nt_500_1000g,prom_prom_300_all,0.18495644629001617,0.9327702702702703,0.9327470507474104,0.8657551351355358,0.9330679156908666,0.9326873031091631,26.3354,224.792,3.531,4.0
nt_500_1000g,EMP_H3K36me3,0.5579106211662292,0.7221903669724771,0.7163381085732669,0.4340200418486469,0.718936532092631,0.7151004619076105,15.5078,224.919,3.547,3.0
nt_500_1000g,mouse_3,0.7783481478691101,0.49372384937238495,0.4519283616033356,-0.012305360606606613,0.4925948468249138,0.49488795518207285,0.2471,967.412,4.048,66.67
nt_500_1000g,EMP_H3K4me2,0.6086875796318054,0.6800260671228413,0.6426110603563836,0.3222049289285155,0.6806783768413109,0.6436475382953696,13.5398,226.665,3.545,3.0
nt_500_1000g,splice_reconstructed,0.28816893696784973,0.8833844804910127,0.8768193531745966,0.8040473505751815,0.868795882076912,0.885877150484522,20.7861,219.473,3.464,5.0
nt_500_1000g,mouse_4,0.698904275894165,0.5857673924588422,0.5723943169908001,0.18362919036823902,0.5981804695562436,0.585861474557265,2.3786,791.65,3.363,8.47
nt_500_1000g,mouse_1,0.2475372701883316,0.8891030392883618,0.8890956651718983,0.7783053248961047,0.8892034816238736,0.8891018499078053,7.7569,869.545,3.481,2.37
nt_500_1000g,EMP_H3,0.3623794615268707,0.85437541750167,0.8543519553272089,0.7087313681358347,0.8544017454150716,0.8543296263901037,6.8112,219.786,3.524,3.0
nt_500_1000g,EMP_H3K9ac,0.5399860143661499,0.7340770061173084,0.7251069726189984,0.45909485370561604,0.7361916436850818,0.7230901159441541,12.3622,224.799,3.559,3.0
nt_500_1000g,mouse_2,1.0003864765167236,0.7957317073170732,0.7951815089239946,0.594666918800269,0.798943886947044,0.7957317073170731,0.4975,659.266,4.02,47.62
nt_500_1000g,tf_1,0.3685678541660309,0.846,0.8451520526402581,0.6997056053146333,0.8537485073039865,0.8460000000000001,1.1978,834.881,3.34,3.0
nt_500_1000g,mouse_0,0.6017398238182068,0.6839506172839506,0.6838272516025152,0.3681886697318064,0.684238164732031,0.6839506172839507,1.1111,728.988,3.6,19.61
nt_500_1000g,tf_0,0.3993595540523529,0.811,0.8099308610936519,0.629117841355672,0.8181585677749361,0.8109999999999999,1.1856,843.458,3.374,3.0
nt_500_1000g,EMP_H4ac,0.6015881896018982,0.6733137829912024,0.668281565182462,0.34128500264028183,0.6731734215605183,0.6681485703429277,15.3336,222.387,3.522,3.0
nt_500_1000g,prom_prom_core_all,0.40867605805397034,0.8189189189189189,0.8188977528418222,0.6379032061531928,0.819007533741076,0.8188956822182777,26.282,225.249,3.539,4.0
nt_500_1000g,EMP_H3K4me3,0.6458469033241272,0.625,0.624100666173205,0.2483348864356043,0.6240417635071596,0.6242932502677312,16.5535,222.309,3.504,3.0
nt_500_1000g,prom_prom_300_tata,0.3959435522556305,0.8597063621533442,0.858946230574939,0.7215201167454279,0.8632059172875499,0.8583306700756366,2.8474,215.282,3.512,10.0
